Player Name,Team,7M Goal,7M Shot,6M Goal,6M Shot,9M Goal,9M Shot,Wing Goal,Wing Shot,Pivot Goal,Pivot Shot,Fastbreak Goal,Fastbreak Shot
Schoch Jona,HBW,0,0,27,49,54,115,0,0,0,0,0,1
Scholtes Elias,RNL,0,0,0,0,0,0,0,0,0,0,0,0
Schonningsen Simen Nicolay,BHC,0,0,24,40,11,24,0,0,0,0,0,0
Schottle Nico,TVB,0,0,1,1,4,10,0,0,0,0,0,0
Schroder Nils,HAN,0,0,0,0,0,0,0,0,0,0,0,0
Schulze Alexander,TVB,0,0,3,4,0,2,19,27,4,4,17,19
Schwarzer Kian,TBV,0,0,0,0,0,0,6,12,1,1,4,5
Schwormstede Luca Alexander,THW,0,0,0,0,2,2,0,0,0,0,0,0
Scott Junior James,HBW,0,0,14,20,21,52,0,0,0,0,0,1
Seitz Stephan,HCE,0,0,0,2,0,1,0,1,2,2,0,0
Sellin Johannes,HCE,1,5,2,3,1,2,35,56,6,7,35,41
Semper Franz,SGF,0,0,10,22,13,34,0,0,0,0,0,0
Siebel Lasse,TVB,0,0,0,0,0,0,0,0,0,0,0,0
Simak Frederik,TBV,2,3,12,23,2,10,0,0,26,41,6,6
Skroblien Tom,NLB,50,70,10,19,1,5,55,82,12,18,28,32
Smarason Janus Dadi,FAG,0,0,27,38,11,28,0,1,1,3,2,2
Sogard Goran,SGF,0,0,20,27,12,25,0,0,0,0,5,5
Spath Manuel,HSV,0,0,3,4,0,0,0,1,15,29,1,2
Speckmann Jan-Eric,NLB,12,13,0,0,0,0,10,21,1,1,2,2
Spohn Valentin,NLB,0,0,23,36,30,70,0,0,0,0,0,0
Srsen Ivan,WET,0,0,15,27,5,14,0,0,0,0,1,1
Staar Max,GWD,0,0,6,8,1,3,25,55,0,0,22,26
Steinert Christoph,HCE,67,80,35,51,27,79,0,0,1,2,3,3
Steinhauser Marius,SGF,1,1,1,2,1,1,30,40,1,2,10,15
Stevanovic Nikola,HBW,0,0,4,7,1,5,0,0,0,0,1,1
Stoyke Timo,GWD,0,0,0,0,0,0,0,0,0,0,0,0
Strosack Moritz,HBW,0,0,2,2,0,1,39,51,5,6,22,24
Strosack Peter,NLB,1,1,8,12,1,1,44,66,8,13,22,26
Stutzke Lukas,BHC,0,0,37,56,25,64,0,0,0,0,7,14
Sunnefeldt Oskar,LEI,0,0,21,35,14,44,0,0,0,0,3,3
Suton Tim,TBV,0,0,64,98,28,71,0,0,5,7,2,3
Svan Lasse Hansen,SGF,0,2,7,12,3,4,68,97,7,7,8,11
Szucs Csaba,BHC,0,0,3,6,5,12,0,0,0,0,1,1
Theilinger Nicolai,HSV,0,0,11,19,6,13,0,0,0,0,2,3
Thiele Joshua,GWD,0,0,2,2,0,2,0,0,12,16,0,0
Thomann Gregor,HBW,10,17,2,2,0,0,11,22,1,1,0,0
Timm Marcel,TBV,0,0,2,2,0,1,0,0,6,8,0,0
Timmermeister Robert,RNL,0,0,0,0,0,0,0,0,0,0,0,0
Tissier Leif,HSV,0,0,50,77,13,26,0,1,3,4,7,7
Todorovic Uros,HBW,0,0,5,7,2,12,0,0,0,0,0,0
Tokuda Rennosuke,NLB,0,0,6,10,0,0,0,0,0,1,1,1
Urban Tomas,GWD,57,81,26,40,2,6,41,75,1,4,33,41
Uscins Renars,SCM,0,0,0,0,0,0,0,0,0,0,0,0
Valiullin Azat,HSV,0,0,18,27,22,51,0,0,0,0,1,1
Vest Kirkelokke Niclas,RNL,0,0,37,59,42,103,0,1,1,1,4,5
Vignjevic Marko,GWD,0,0,3,5,3,8,0,0,0,0,0,0
Volz Patrick,HBW,0,1,2,2,0,0,8,10,0,0,2,3
Vori Igor,BER,0,0,0,0,0,0,0,0,1,1,0,0
Vujovic Milos,BER,5,5,4,8,0,2,30,41,2,3,17,25
Wager Philipp Maximilian,THW,0,0,0,0,0,0,0,0,0,0,0,0
Wanne Hampus,SGF,73,88,6,9,1,1,39,60,5,8,34,37
Weber Daniel,HAN,0,0,0,0,0,0,2,2,0,0,0,0
Weber Philipp,SCM,0,1,44,55,27,69,0,0,0,0,2,2
Weck Alexander,BHC,0,0,14,29,47,116,0,0,0,0,1,1
Weinhold Steffen,THW,0,0,34,46,18,38,0,0,0,0,13,14
Weiss Dominik,TVB,0,1,20,31,34,87,2,2,6,7,1,2
Weissgerber Lars,WET,1,2,3,5,0,1,37,56,3,3,14,18
Weller Niklas,HSV,19,29,2,7,1,1,0,0,111,141,1,1
Wente Till,HBW,0,0,1,2,3,6,0,0,2,2,0,0
Widmaier Maurice,TVB,0,0,0,0,0,0,0,0,0,0,0,0
